Time, Line Coverage (%), , , , Branch Coverage (%), , , 
, Randoop, Orienteering, ConstantMining, DigDog, Randoop, Orienteering, ConstantMining, DigDog,
50, 15, 25, 20, 25, 9, 16, 12, 17,
100, 19, 32, 24, 30, 11, 21, 15, 20,
150, 21, 34, 28, 32, 13, 23, 18, 21,
200, 23, 35, 29, 33, 14, 23, 19, 22,
250, 24, 36, 33, 35, 15, 24, 21, 24,
300, 24, 39, 35, 39, 15, 27, 24, 27,
350, 26, 40, 36, 41, 17, 28, 24, 29,
400, 26, 43, 37, 42, 16, 30, 25, 29,
450, 27, 41, 37, 43, 17, 28, 25, 30,
500, 28, 39, 43, 44, 18, 27, 29, 31,
550, 28, 41, 40, 47, 18, 29, 27, 34,
